번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
729,2017,강철비,"액션,드라마",양우석,"박준호 , 박민희 , 김태원","양우석 , 정하용","정우성 , 곽도원 , 김갑수 , 김의성 , 이경영 , 조우진 , 정원중 , 김명곤 , 박은혜 , 김지호 , 안미나 , 원진아 , 정유나 , 이상민 , 이정호 , 정환 , 한승헌 , 박민희 , 한창현 , 이양희 , 현봉식 , 손성찬 , 이지원 , 강덕중 , 최현종 , 권범택 , 천재홍 , 정종우",2017-02-02,2017-06-01,(주)와이웍스엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),"(주)와이웍스엔터테인먼트 , (주)모팩",2017-12-14,"양우석, 제피가루 웹툰 『스틸 레인』 원작"
730,2017,련희와 연희,드라마,"최종구 , 손병조","박의준 , 이정표 , 조준형 , 김남정",최종구,"이상희 , 서아연 , 윤은지 , 김주후 , 유상원 , 이정표 , 김태연 , 한이진",2016-10-06,2016-10-31,,M&M 인터내셔널,장풍E&M,2017-12-14,2016 통일부 평화와 통일 영화 제작지원 시나리오 공모전 중편 부문 대상 수상/2017 영진위 하반기 저예산영화개봉지원작
731,2017,신과함께-죄와 벌,"판타지,드라마",김용화,최지선,김용화,"하정우 , 차태현 , 주지훈 , 김향기 , 마동석 , 김동욱 , 도경수 , 오달수 , 임원희 , 장광 , 정해균 , 김수안 , 이정재 , 김해숙 , 이경영 , 김하늘 , 최용훈 , 강소백 , 정수윤 , 이수봉 , 이승준 , 이지향 , 김태준 , 정지훈 , 예수정 , 김기태 , 성유빈 , 오희준 , 이준혁 , 유수빈 , 윤지온 , 임철수 , 나철 , 강길우 , 김민종 , 홍인 , 정순원 , 김그림 , 박윤호 , 양지수 , 김지나 , 윤승훈",2016-05-26,2017-03-22,"롯데쇼핑㈜롯데엔터테인먼트 , (주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,"리얼라이즈픽쳐스(주) , (주)덱스터스튜디오",2017-12-20,주호민 동명 웹툰 원작/2016 영진위 영화현장응급의료지원작
732,2017,월하,"공포(호러),미스터리,스릴러",오인천,박건우,"오인천 , 박지영","윤진영 , 정성훈 , 김준섭 , 오인천",2017-06-19,2017-06-26,(주)영화맞춤제작소 영화공장,(주)영화맞춤제작소 영화공장,"(주)영화맞춤제작소 영화공장 , 블리트필름",2017-12-20,2017 포틀랜드필름페스티벌 월드프리미어 부문 초청작
733,2017,야경 : 죽음의 택시,"공포(호러),미스터리,스릴러",오인천,박건우,"오인천 , 박지영","주민하 , 정보름 , 정성훈 , 박건우 , 오인천",2017-04-20,2017-05-20,(주)영화맞춤제작소 영화공장,(주)영화맞춤제작소 영화공장,"(주)영화맞춤제작소 영화공장 , 블리트필름",2017-12-20,2017 몬트리올 국제영화제 포커스 온 월드 시네마 부문 초청작
734,2015,심장박동 조작극,멜로/로맨스,장희민,"백정민 , 최복동 , 구승철","최성진 , 장희민","이유미 , 윤정일 , 이가경 , 최복동",2014-12-02,2014-12-23,,(주)스토리제이,(주)곤미디어,2017-12-21,2014 전주영상위원회 전북영화제작 인큐베이션 지원작
735,2017,1987,드라마,장준환,장영환,김경찬,"안대겸 , 김윤석 , 하정우 , 유해진 , 김태리 , 박희순 , 이희준 , 설경구 , 여진구 , 윤재국 , 지웅배 , 정재윤 , 이가영 , 이동욱 , 이동희 , 이상준 , 이태형 , 최광일 , 강동원 , 문소리 , 문성근 , 김원진 , 남민우 , 이주영 , 임병우 , 김시은 , 김기태 , 정재윤 , 황성준 , 서현우 , 조민준 , 박지환 , 박명신 , 김푸름 , 이화룡 , 이창훈 , 이신성 , 김수진 , 박경혜 , 김국희 , 황정민 , 한준우 , 정승길 , 현봉식 , 강신철 , 한성천 , 나철 , 김승훈 , 정인기 , 양조아 , 최교식 , 이장유 , 김경덕 , 최현종 , 정순원 , 이하영 , 유정호 , 곽진석 , 박혁민 , 염석무 , 이범규",2017-04-20,2017-08-27,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)우정필름,2017-12-27,
736,2016,나의 연기 워크샵,드라마,안선경,"김소희 , 김소희",안선경,"김소희 , 이관헌 , 김강은 , 성호준 , 서원경 , 권수민 , 서혜주 , 황효상 , 황지우",2015-12-15,2016-01-13,,무브먼트,궁금단영화,2017-12-28,2016 BIFF 비전 감독상 수상/2016 서울독립영화제 경쟁 부문 초청작
737,2017,광인옥한흠,다큐멘터리,김상철,,김상철,옥한흠,2016-11,2017-11,,파이오니아21,파이오니아21,2017-12-28,속편
738,2017,부라더,코미디,장유정,이재민,"장유정 , 허성혜","마동석 , 이동휘 , 이하늬 , 배준수 , 석정호 , 신은영 , 안백승 , 안승주 , 채지혜 , 이성은 , 이수민 , 이은정 , 한명순 , 이재민 , 이하은 , 황인주 , 황종환 , 김근영 , 이봉련 , 허성태 , 손영순 , 서현철 , 김강현 , 류정수 , 송상은 , 윤태희 , 정순원 , 강지혜",2017-01-06,2017-03-05,,메가박스중앙(주)플러스엠,"(주)홍필름 , (주)수필름",2017-11-02,뮤지컬 원작
739,2017,올드마린보이,다큐멘터리,진모영,"진모영 , 이미진 , 김혜경",,"박명호 , 김순희 , 박철준 , 박철훈",2013-11,2017-08,,CGV아트하우스,영화사 님아 주식회사,2017-11-02,2016 영진위 상반기 독립영화제작지원작/2017 DMZ국제다큐영화제 개막작
740,2017,메소드,드라마,방은진,"김성은 , 이장호","방은진 , 민예지","김현수 , 박성웅 , 윤승아 , 오승훈 , 사우 , 박상훈 , 박정민 , 박주연 , 박진성 , 서지혜 , 안주영 , 오수빈 , 조윤담 , 조혜림 , 이경민 , 이유진 , 이장호 , 이혜수 , 이민웅 , 기도영",2017-06-04,2017-06-26,(주)엣나인필름,(주)엣나인필름,모베터필름 주식회사,2017-11-02,2017 BIFF 한국영화의 오늘-파노라마 부문 초청작
741,2017,내게 남은 사랑을,드라마,진광교,나용국,"진광교 , 이성경","성지루 , 전미선 , 권소현 , 양홍석 , 이예원 , 박민지 , 조윤담 , 이병준 , 이유진 , 이지훈 , 이현 , 신문성 , 서호철",2017-05-13,2017-06-15,"(주)와호엔터테인먼트 , (재)CBS",(주)무빙픽쳐스컴퍼니,"(주)와호엔터테인먼트 , (재)CBS",2017-11-02,
742,2017,침묵,드라마,정지우,박준,정지우,"최민식 , 박신혜 , 류준열 , 이하늬 , 박해준 , 조한철 , 이수경 , 박성희 , 박태강 , 박호산 , 송준 , 안성봉 , 채현우 , 이연 , 이태형 , 임승묵 , 박규영 , 남명렬 , 박형수 , 김대현 , 서현우 , 김수진 , 강신철 , 김영재 , 장원형 , 박지연 , 권은수 , 오아연 , 이민웅 , 백종승 , 윤재인 , 한사명 , 전운종 , 박중금 , 양현진 , 진현광 , 이정민 , 이정민 , 이상철",2016-10-17,2017-02-07,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)용필름,2017-11-02,A.K.A. 침묵의 목격자/중국영화 리메이크작
