번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
382,2019,나의이름,"멜로/로맨스,드라마",허동우,조성훈,윤치소,"전소민 , 최정원 , 강형구 , 김정균 , 김동주 , 조소진 , 김민기 , 정상현 , 김양균 , 편한샘 , 박하영 , 권미르 , 정연심 , 서정록 , 이유선 , 이정귀 , 소은정 , 정민경 , 남대협 , 임수빈 , 장태양 , 신희국 , 강지훈 , 김성구 , 유완례 , 이보온 , 신동한 , 이강은 , 윤대기 , 조태룡 , 문혜원 , 김수민",,,,시네마 뉴원,(주)뉴데이픽쳐스,2020-10-14,2020 부에노스아이레스 국제영화제 공식초청작 한국콘텐츠진흥원 제작지원작
383,2020,소리도 없이,"범죄,드라마",홍의정,최문석,홍의정,"유아인 , 유재명 , 문승아 , 이가은 , 조하석 , 승형배 , 임강성 , 유성주 , 김자영 , 서동수 , 홍석빈 , 김한나 , 이해운 , 최은경 , 백예현 , 이진우 , 이재평 , 하재열 , 유대근 , 안희주 , 이민선 , 최시원 , 김정훈 , 이육현 , 신준호 , 곽나연 , 최설 , 김도겸 , 김상동 , 김연 , 오병호 , 정유식 , 임유성 , 송지우 , 김연서 , 신태양 , 안석현 , 장선율 , 문수환 , 유주현 , 유기준 , 강종성 , 이순찬 , 임도균 , 김남우 , 김도형",2019-07-29,2019-10-31,(주)에이스메이커무비웍스,(주)에이스메이커무비웍스,"(주)루이스 픽쳐스 , (주)브로콜리픽쳐스",2020-10-15,
384,2019,알피니스트 - 어느 카메라맨의 고백,다큐멘터리,"임일진 , 김민철",권아영,"임일진 , 김민철","김형일 , 서성호 , 장지명 , 임일진",,,,(주)민치앤필름,(주)민치앤필름,2020-10-15,제68회 트렌토 영화제 심사위원상 수상 제13회 BBKMendi 국제산악영화제 초청
385,2018,돌멩이,드라마,김정식,송대찬,김정식,"김대명 , 송윤아 , 김의성 , 전채은 , 이중옥 , 김진곤 , 한수현 , 박성일 , 박대원 , 이진희 , 이윤형 , 김기천 , 정경임 , 김현정 , 추은경 , 이아린 , 곽민석 , 이민영 , 한겸 , 김서원 , 김준희 , 한가온 , 유나 , 허율 , 서진원 , 기연호 , 이명식 , 손성찬 , 박재철 , 송창현 , 김효준 , 김경열 , 이태규 , 이종운 , 김광현 , 양소민 , 박영복 , 한서인 , 박지연 , 신나리 , 장혜리 , 김경선 , 윤태희 , 윤성원 , 조은 , 오효진 , 장진영 , 송창규 , 박라윤 , 엄채윤 , 유현서 , 신채이 , 유서진 , 이연경 , 김미진 , 황현태 , 김건 , 한성혁 , 김아인 , 김영재 , 권유진",2017-10,2017-12,"영화사 집 , (주)케이티알파",(주)리틀빅픽쳐스,(주)영화사테이크,2020-10-15,부산국제영화제 23회(2018년) 한국영화의 오늘 - 파노라마
386,2020,삼진그룹 영어토익반,드라마,이종필,박윤호,홍수영,"고아성 , 이솜 , 박혜수 , 김예지 , 백현진 , 조현철 , 김종수 , 김원해 , 배해선 , 데이비드 맥기니스 , 이성욱 , 김희상 , 김희상 , 한재이 , 이주미",2019-10-26,2020-01-22,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,더램프(주),2020-10-21,
387,2019,종이꽃,드라마,고훈,"조현민 , 성진경",고훈,"안성기 , 유진 , 김혜성 , 장재희 , 이석 , 정찬우 , 김세동 , 나종민 , 조현재 , 고윤후 , 최선중 , 조현민 , 성진경 , 황인준 , 손병현 , 김병준 , 안희성 , 최민지 , 이배 , 양성욱 , 김민석 , 조선묵 , 이원재 , 손성찬 , 권귀빈 , 임영우 , 옥주리 , 이한샘 , 문희경 , 조선묵 , 이창우 , 조규태 , 조은비 , 하혜승 , 김정수 , 박지훈 , 이섬 , 양지일 , 송예진 , 강정웅 , 이인규 , 송주하 , 박덕수 , 유영민 , 임유진 , 문연숙 , 김경주 , 고미재 , 신용재 , 김강민 , 김무원 , 손정춘 , 장성숙 , 어승훈 , 김고은 , 최상 , 임유진",2019-03-14,2019-04-13,,(주)스튜디오 보난자,"(주)로드픽쳐스 , ㈜스토리셋",2020-10-22,"제53회 휴스턴 국제영화제 남우주연상 수상, 백금상수상, 외국어상 수상 제24회 부산국제영화제 파노라마 부문 초청 애리조나 국제영화제 29회(2021년) 서울독립영화제 45회(2019년) 특별초청 - 장편 제주영화제 15회(2019년) 개막작 부산국제영화제 24회(2019년) 한국영화의 오늘 - 파노라마"
388,2018,디어 마이 지니어스,다큐멘터리,구윤주,강현아,,"구윤영 , 문선숙 , 구윤주 , 구윤희 , 구민수",,,,필름다빈,오엠지프로덕션,2020-10-22,광주여성영화제 10회(2019년) 한국장편 EBS 국제다큐영화제 16회(2019년) 키즈 다큐 부산국제영화제 23회(2018년) 와이드 앵글 - 다큐멘터리 쇼케이스
389,2019,젊은이의 양지,드라마,신수원,이선영,신수원,"김호정 , 김현태 , 윤찬영 , 정하담 , 최준영 , 한지원 , 한재이 , 진용욱 , 김보윤 , 이주원 , 강태제 , 김재록 , 박현영 , 문수영 , 이지봄 , 오정우 , 안예림 , 신연식 , 조은주 , 임정운 , 김서하 , 이명옥 , 김희 , 문인환 , 조새연 , 허웅 , 최준석 , 신소정 , 연하라 , 윤한나 , 김민정 , 김여경 , 노희중 , 허성우 , 오춘환 , 김규연 , 정윤서 , 임연지 , 한기옥 , 조동환 , 권소현 , 주광현 , 노현정 , 신지인",,,,(주)리틀빅픽쳐스,(주)준필름,2020-10-28,피렌체 한국영화제 18회(2020년) 아시아나항공관객상 수상 서울국제여성영화제 22회(2020년) 링키지: 감독X비평가 아이치 국제여성영화제 25회(2020년) 초청작 서울독립영화제 45회(2019년) 특별초청 - 장편 부산국제영화제 24회(2019년) 한국영화의 오늘 - 파노라마
390,2020,황무지 5월의 고해,드라마,김태영,,,"조선묵 , 양재만 , 서갑숙 , 이경아 , 김영석 , 김윤태 , 문창근 , 한영숙 , 이영자 , 방은희 , 이현란 , 선동혁 , 김정 , 차기환 , 김찬구 , 이은영 , 심지미 , 이숙 , 유문선 , 전무송",,,(주)인디컴,시네마 뉴원,(주)인디컴,2020-10-28,5.18 민주화운동 40주년기념 특별상영작
391,2020,담쟁이,"가족,드라마",한제이,"최인영 , 한제이",한제이,"우미화 , 이연 , 김보민 , 최정화 , 안민영 , 황미영 , 이다영 , 윤동하 , 김지민 , 최우정 , 조윤정 , 조은경 , 최선영 , 박정민 , 박지훈 , 권수진 , 신희철 , 김한솔 , 이현미 , 이윤희 , 강숙 , 김종재 , 서유성 , 박진훈 , 유안 , 엄옥란 , 김아람 , 이준서 , 정현 , 서석규 , 강학수 , 정수지 , 곽수정 , 하승연 , 이관헌 , 문수영 , 임윤비 , 이원희 , 전희련 , 김완수 , 고관재 , 박혜영 , 김윤미 , 최우정 , 정수지 , 장근영 , 곽민호 , 조준형 , 박지안 , 곽진",2019-05-12,2019-06-21,,(주)트리플픽쳐스,"다이노(DIE NO) , (주)조이컴퍼니",2020-10-28,"제21회 전주국제영화제 초청, 제22회 서울국제여성영화제 초청"
392,2019,웰컴 투 X-월드,다큐멘터리,한태의,,,"최미경 , 한흥만 , 한태의 , 이성례 , 최미례 , 한병옥 , 기유라 , 한정순 , 한화자 , 정동재",,,,(주)시네마달,(주)시네마달,2020-10-29,"제45회 서울독립영화제 새로운 시선상 제1회 합천 수려한영화제 우수상, 관객상 제17회 EBS 국제다큐영영화제 아시아 대상 (다큐멘터리고양상)"
393,2020,오! 문희,"코미디,드라마",정세교,옥광희,김수진,"나문희 , 이희준 , 최원영 , 박지영 , 전배수 , 김예은 , 김선경 , 박진우 , 최광일 , 김정영 , 김학선 , 이진주 , 박예찬 , 차순배 , 김수경 , 김보정 , 이규성 , 김동규 , 김혜나 , 동현배 , 우영남 , 박성용 , 오창경 , 송지유 , 김귀선 , 장준녕 , 윤여진 , 이석 , 박현지 , 이지안 , 유병선 , 남정우 , 김세정 , 김동현 , 김종근 , 구본진 , 나은미 , 강희중 , 강중훈 , 김수란 , 배시은 , 송우주 , 최예찬 , 박연희 , 윤인제 , 박건태 , 이재덕 , 송진석 , 이광훈 , 김경섭 , 박규범 , 최요운 , 권가이 , 김누리 , 강지현 , 윤옥길 , 김수란 , 박성준",2018-09-28,2018-12-21,CGV아트하우스,CGV아트하우스,(주)빅스톤픽쳐스,2020-09-02,제6회 롯데크리에이티브공모전 우수상
394,2019,7월7일,"드라마,멜로/로맨스",손승현,조장환,손승현,"정이서 , 김희찬 , 방은정 , 윤건일 , 조영진 , 이세진 , 장유빈 , 윤경호 , 장우연 , 이음 , 이주희 , 주진오 , 김진아 , 김형주 , 정수련 , 조혜령 , 황의형 , 김성우 , 김지현 , 안수빈 , 이해 , 고유 , 김나래 , 김다슬 , 김소정 , 민지희 , 박소영 , 설찬미 , 안스완 , 이소라 , 이현아 , 장유현 , 장현아 , 권소윤 , 김우중 , 김현 , 양연호 , 이건우 , 이연준 , 이현아 , 김연우 , 정수진 , 위진 , 엄태현 , 이자인 , 정수진 , 조희원 , 나윤형 , 엄태현 , 위진 , 이자인 , 길해연 , 김꽃비 , 김영노 , 최이선 , 김시연 , 김종언 , 강문정 , 이태린 , 김하나 , 윤승훈",,,,(주)이놀미디어,필름소년,2020-09-02,
395,2020,나를 구하지 마세요,드라마,정연경,"오영림 , 유홍준","정연경 , 주영하","조유하 , 최로운 , 양소민 , 선화 , 이휘종 , 이선희",,,(주)아우라픽처스,(주)리틀빅픽쳐스,(주)아우라픽처스,2020-09-10,2017 서울국제여성영화제 피치&캐치 프로젝트 극영화 부문 대상 메가박스상 제21회 전주국제영화제 한국경쟁 부문 초청
396,2018,이별의 목적,멜로/로맨스,이건우,양수정,"홍경실 , 이건우","한해인 , 김정훈 , 박인하 , 김보늬 , 이다림",,,(주)한영씨앤텍,주식회사 블루필름웍스,(주)한영씨앤텍,2020-09-10,
397,2019,메피스토,"드라마,스릴러",김동후,"이문호 , 최현민 , 송현석 , 김연수",감동후,"이상보 , 김초인 , 이수민 , 엄혜수 , 김병옥 , 유병수 , 장우용 , 이일균 , 손성찬 , 김기범 , 나대한 , 오진호 , 박준언 , 최령 , 최한별 , 김현석 , 엄소정 , 윤성원 , 이지혁 , 박부건 , 권오상 , 오의영 , 최풍호 , 윤우영 , 김동후 , 김도현 , 윤준열 , 김이진 , 김현우 , 이성찬 , 채영훈 , 김바비 , 박세정 , 한희종 , 이계영 , 전금한 , 이육헌 , 김동인 , 임성언 , 장원영",,,,(주)영화사 그램,㈜아라유니버스,2020-09-10,
398,2019,도망친 여자,드라마,홍상수,홍상수,홍상수,"김민희 , 서영화 , 송선미 , 김새벽 , 권해효 , 강이서 , 조소연",,,,"(주)영화제작전원사 , (주)콘텐츠판다",(주)영화제작전원사,2020-09-17,제70회 베를린국제영화제 은곰상 감독상 수상
399,2020,검객,액션,최재훈,"박아형 , 안병래 , 김주연",최재훈,"장혁 , 김현수 , 조 타슬림 , 정만식 , 이나경 , 최진호 , 이민혁 , 지승현 , 지건우 , 공상아 , 신재환 , 안젤리나 다닐로바 , 조용현 , 강진휘 , 류성현 , 김영성 , 김주영 , 김형명 , 허선행 , 한철우 , 김윤태 , 한창현 , 양명헌 , 노시홍 , 황대준 , 황보정일 , 한기윤 , 박태주 , 정예지 , 박건락 , 황세원 , 윤부진 , 우영택 , 류연영 , 김정환 , 김영주 , 조완기 , 민수아 , 남궁혜인 , 김민서 , 김세홍 , 원근수 , 오일용 , 이영호 , 이봄 , 김형욱 , 전영인 , 안유준 , 심은주 , 백우궁 , 이연준 , 한재하 , 윤석진 , 엄지만 , 오형근 , 전현우 , 이세찬 , 김양균 , 박국환 , 김윤호 , 곽길한 , 장규미 , 이수완 , 김현서 , 방지혁 , 강전영 , 신세용 , 김호경 , 박형우 , 조국형 , 손영건 , 이영훈 , 이대진 , 임병렬 , 이원희 , 노상현 , 김성현 , 하준우 , 한승우 , 국지용 , 차정훈 , 현정철 , 양희우 , 송정현 , 지웅배 , 정혜민 , 최보정 , 김효은 , 나미소 , 신현숙 , 임민소 , 황보다은 , 김혜린 , 장예림 , 나석민 , 장현성 , 이재웅 , 이정민 , 이상찬 , 천영암 , 윤승훈",2017-06-15,2017-09-14,"오퍼스픽쳐스(유) , (주)키위미디어그룹","(주)키위미디어그룹 , 오퍼스픽쳐스(유) , (주)씨네필운",오퍼스픽쳐스(유),2020-09-23,
400,2020,디바,"스릴러,미스터리",조슬예,"김요환 , 박누리 , 장유정","유영선 , 조슬예","신민아 , 이유영 , 이규형 , 주석태 , 오하늬 , 박성연 , 허형규 , 윤금선아 , 강민지 , 지이수 , 곽지혜 , 최다인 , 박충선 , 천지유 , 허동원 , 김정남 , 변진수 , 남지우 , 양윤호 , 문서윤 , 김희상 , 김민채 , 오희준 , 한승우 , 천지유 , 정재훈 , 하이선 , 이서주 , 김승비 , 김태리 , 장햇살 , 배소영 , 김바비 , 김가애 , 정재민 , 조문홍 , 도현 , 윤정훈 , 안정빈 , 김성준 , 권훈 , 박현욱 , 김현식 , 윤정원 , 조은지 , 이성혜 , 김연정 , 박수경 , 고은지 , 유창수 , 형진성 , 임재영 , 정연재 , 김진용 , 조성인 , 조은비 , 조은지 , 김소연 , 심채영 , 주호현 , 이성혜 , 김진용 , 조성인 , 임재영 , 정연재 , 정다연 , 박하름 , 권하림 , 류민재 , 이재경 , 류용찬 , 문나윤 , 고현주 , 윤연수 , 강민범 , 고성권 , 김소연 , 심채영 , 주호현 , 김서연 , 정동민 , 최아연 , 유서준 , 안태영 , 김연정 , 김승현 , 손가은 , 최종민 , 김동영 , 손성환 , 이현민 , 이승연 , 윤솔 , 강민성 , 신재이 , 김정민 , 김나현 , 최하은 , 박찬현 , 이원섭 , 강민혁 , 김서경 , 최강인 , 백승진",2018-07-16,2020-06-01,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,"영화사올(주) , 팔팔애비뉴(주)",2020-09-23,
401,2019,다시 만난 날들,"뮤지컬,드라마,멜로/로맨스",심찬양,김철영,"심찬양 , 신지숙","홍이삭 , 장하은",,,,(주)영화사오원,(주)푸른나무픽쳐스,2020-09-24,제16회 제천국제음악영화제 개막작
402,2019,죽지않는 인간들의 밤,"코미디,스릴러",신정원,"신예림 , 안병혁 , 박송해","장항준 , 신정원","이정현 , 김성오 , 서영희 , 양동근 , 이미도 , 진현광 , 장명갑 , 신민재 , 문종필 , 백승철 , 이태규 , 진현광 , 김기천 , 주보비 , 배영란 , 오진영 , 홍민수 , 류경환 , 전성원 , 옥수분 , 임채선 , 문영동 , 장래군 , 강덕중 , 손소영 , 이신기 , 강다빈 , 황동욱 , 이승욱 , 박연수 , 최주영 , 오재균 , 임다영 , 임지민 , 김주하 , 김채원 , 우서라 , 최유리 , 김진걸 , 김광섭 , 신마린 , 김명래 , 전상배 , 박성수 , 김상윤 , 임재홍 , 김지현 , 이승구 , 김성수 , 김재형 , 이재호 , 오윤수 , 황보라 , 성민아 , 이장섭 , 유하나 , 이준 , 김현이 , 이유진 , 김승준 , 김병오 , 박경모 , 이재웅 , 송지민 , 이동민 , 정성훈 , 전제혁 , 김경우 , 조민교 , 김원중 , 우영택 , 박현선 , 문광식 , 전종석 , 이얀 , 정윤민 , 이장유 , 김연경 , 김서원 , 신중혁",2019-04-15,2019-07-09,TCO(주)더콘텐츠온,TCO(주)더콘텐츠온,"(주)브라더픽쳐스 , TCO(주)더콘텐츠온",2020-09-29,
403,2020,담보,드라마,강대규,"최준호 , 송승민 , 오형균",손주연,"성동일 , 하지원 , 김희원 , 박소이 , 나문희 , 김윤진 , 김재화 , 홍승희 , 유태오 , 유성주 , 정인기 , 진유영 , 이재용 , 박현숙 , 유순웅 , 차청화 , 장명갑 , 김민주 , 김해용 , 김병철 , 윤종구 , 이상화 , 이도엽 , 이필라 , 한복희 , 박시완 , 박경환 , 임세현 , 노은하 , 신나리 , 서성광 , 문성환 , 이상협 , 박은영 , 김서현 , 윤태웅 , 이샘 , 강재은 , 강민지 , 신동훈 , 김양성 , 송율희 , 권현희 , 이태형 , 이은주 , 문성복 , 이문빈 , 신민경 , 김봉성 , 김다연 , 천현우 , 김인이 , 문원주 , 김봉수 , 최미라 , 김규도 , 오세현 , 정원 , 유현수 , 정태인 , 박현수 , 곡여병 , 유성현 , 현정애 , 장호문 , 한승윤 , 차건 , 김수현 , 배서희 , 양세연 , 박예서 , 박지민 , 오정원 , 박소현 , 오나예 , 김예원 , 박지성 , 정세한 , 하지원 , 정주용 , 김가령 , 최수아 , 양예슬 , 권채민 , 서수빈 , 이정봉 , 송혜령 , 김민지 , 지선 , 정민경 , 천윤진 , 배근하 , 오연지 , 박재홍 , 이상협 , 이동진",2019-04-22,2019-07-31,(주)씨제이이엔엠,(주)씨제이이엔엠,"(주)제이케이필름 , (주)레드로버 , (주)씨제이이엔엠 , (주)영화사연",2020-09-29,
404,2020,국제수사,"코미디,액션",김봉한,"신민철 , 장성원","이연우 , 김봉한","곽도원 , 김대명 , 김희원 , 김상호 , 이유진 , 손현주 , 조재윤 , 신승환 , 신동미 , 이한서 , 김창옥 , 강채민 , 이찬유 , 이규영 , 김채준 , 성혁 , 이소진 , 이봉련 , 이유리 , 박창희 , 황무영 , 이홍내 , 박대원 , 희웅 , 정영철 , 여상훈 , 강덕환 , 정인덕 , 김단아 , 하은수 , 이강녕 , 황두하",2018-05-29,2018-09-20,(주)쇼박스,(주)쇼박스,(주)영화사장춘,2020-09-29,
405,2019,다만 악에서 구하소서,"범죄,액션",홍원찬,"강관호 , 김철용",홍원찬,"황정민 , 이정재 , 박정민 , 박소이 , 최희서 , 송영창 , 이서환 , 박명훈 , 오대환 , 심영은 , 김성곤 , 최정화 , 이태검 , 정우영 , 지현준 , 박재홍 , 최상재 , 김도연 , 정택호 , 문정수 , 김민식 , 송유현 , 임성재 , 권찬민 , 황인성 , 소준일 , 최상재 , 최병모",2019-09-23,2020-01-23,(주)씨제이이엔엠,(주)씨제이이엔엠,(주)하이브미디어코프,2020-08-05,
406,2019,오케이 마담,"코미디,액션",이철하,"김형석 , 김윤신",신현성,"엄정화 , 박성웅 , 이상윤 , 배정남 , 이선빈 , 정수빈 , 유하준 , 박지일 , 김법래 , 주석태 , 조성희 , 유수정 , 최진호 , 김병옥 , 김혜은 , 전수경 , 박소리 , 임현성 , 이시원 , 송치훈 , 이정현 , 윤병희 , 곽진석 , 김한종 , 박태산 , 진모 , 김규백 , 강민순 , 김성종 , 주창욱 , 김미화 , 류혜린 , 배소영 , 이유안 , 천지유 , 배진아 , 이가경 , 김대우 , 박종환 , 곽민석 , 윤지온 , 양현민 , 정재민 , 어성욱 , 허승 , 이재혁 , 노승윤 , 전현숙 , 김인숙 , 정미경 , 김민체 , 고봉주 , 류대식 , 최영도 , 윤대열 , 이명로 , 우연화 , 배기림 , 홍기주 , 오시은 , 민채은 , 김태린 , 전운종 , 윤동주 , 우시헌 , 이태준 , 김태응 , 김진혁 , 김미라 , 유준혁 , 나종기 , 조은혜 , 김수호 , 이찬희 , 황재필 , 이종성 , 박경관 , 정우영 , 김도아 , 한아름 , 강병욱 , 윤소담 , 한희림 , 고재운 , 김남길 , 정만식 , 김종수",2019-02-08,,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,"영화사올(주) , (주)사나이픽처스",2020-08-12,
407,2019,어서오시게스트하우스,"드라마,코미디",심요한,홍성현,"심요한 , 박은교","이학주 , 박선영 , 신민재 , 신재훈 , 김범진 , 김윤지 , 김주헌 , 임지형 , 이지수 , 문동혁 , 김진희 , 김민영 , 윤현정 , 윤혜성 , 장성우 , 주기운 , 김동민 , 차현석 , 이종현 , 변준범 , 이진혁 , 유준혁 , 김시원 , 김민준 , 김하민 , 우채성 , 신윤성 , 전정환 , 오자영 , 최광렬 , 서석준 , 김성국 , 최훈민 , 석혜린 , 서유진 , 박상기 , 박종현 , 조서진 , 홍선영 , 이동렬 , 김경윤 , 김원봉 , 박종인 , 박준호 , 연제광 , 조경호 , 홍성현 , 최지혜 , 김경수 , 이광용 , 이광용 , 허민행 , 진영찬 , 손종학 , 윤아름 , 곽성태 , 박상우 , 김기찬 , 송창훈 , 인혜숙 , 이승철",,,,(주)리틀빅픽쳐스,K'arts,2020-08-13,제23회 부천국제판타스틱영화제 관객상수상 제45회 서울독립영화제 초청
408,2019,동아시아반일무장전선,다큐멘터리,김미례,,"유영선 , 김미례",,,,,아이 엠,감 픽쳐스,2020-08-20,
409,2019,여름날,드라마,오정석,전미연,,"김유라 , 김록경 , 이연금 , 이진서 , 이현지 , 천산호 , 조준형 , 한우진 , 김희수 , 조수아",,,,영화배급협동조합 씨네소파,오전필름,2020-08-20,"제24회 부산국제영화제 커뮤니티비프 제45회 서울독립영화제 한국경쟁, 제8회 무주산골영화제 창섹션 제24회 인디포럼 폐막작 초청작"
410,2019,남매의 여름밤,드라마,윤단비,,,"박현영 , 양흥주 , 최정운 , 박승준 , 강석원",,,,그린나래미디어(주),오누필름,2020-08-20,"제24회 부산국제영화제 한국여화감독조합상, 시민평론가상, 넷팩상, KTH상 제49회 로테르담 국제영화제 밝은미래상 제45회 서울독립영화제 새로운선택상 제8회 무주산골영화제 대상, 뉴비전상 2020 뉴욕아시아영화제 최우수 장편 영화상 수상"
411,2019,69세,드라마,임선애,이승복,임선애,"예수정 , 기주봉 , 김태훈 , 김중기 , 김준경 , 문정웅 , 김정영 , 안민영 , 박가영 , 신현종 , 김민체 , 서수민 , 장성윤 , 강민지 , 이명하 , 황선영 , 박소윤 , 정순미 , 이종민 , 정원형 , 박힘찬 , 길상우 , 임광진 , 서민우 , 정경식 , 서임철 , 서한비 , 오원식 , 곽민석 , 이나영 , 이혜민 , 김한 , 송혜정 , 이상홍 , 조하린 , 김태정 , 이진영 , 이승희 , 전삼분 , 박숙명 , 김수현",,,,(주)엣나인필름,(주)기린제작사,2020-08-20,제24회 부산 국제영화제 관객상수상
412,2019,이별식당,"뮤지컬,드라마,멜로/로맨스",임왕태,임희철,"김전한 , 정현심 , 임왕태","고윤 , 송글송글 , 현명한 , 배준수 , 이진성 , 이다영 , 김태성 , 신인숙 , 지가민 , 한준용 , 진채완 , 이지은 , 김은수 , 김가을 , 이연주 , 권오복 , 윤수정 , 노수빈 , 김윤미 , 이선아 , 김지혜",,,"(주)에스와이코마드 , (주)미스터로맨스","(주)에스와이코마드 , 아이 엠","(주)미스터로맨스 , HATCH FILM , 서울예술대학",2020-08-27,2019 인도 차트라파티 시바지 국제영화제 최우수로맨틱영화상 수상 2018 한국콘텐츠진흥원 방송영상콘텐츠지원사업 선정작
413,2019,리메인,드라마,김민경,배소현,김민경,"이지연 , 김영재 , 하준 , 김선옥 , 김민우 , 홍승이 , 이아인 , 곽동규 , 박주현 , 최현욱 , 이연실 , 김미경 , 나종기 , 오세준 , 김경원 , 진현미 , 김규리 , 강민지 , 이정민 , 손민영 , 김기정 , 서민아 , 박여욱 , 문지훈 , 박은홍 , 최문익 , 김재철 , 배예인 , 방성현 , 변예진 , 박현진 , 전주협 , 김도한 , 강정인 , 변정자 , 손기현 , 손태훈 , 김흥욱 , 장준권 , 김민수 , 강동욱 , 황윤하 , 이대희 , 이윤미 , 이철우 , 하진경 , 김혜진 , 백혜문 , 김일호 , 김혜인 , 김예빈 , 이도경 , 이예람 , 남홍은 , 이가영 , 김혜린 , 이민주 , 정다혜 , 이경희 , 김아영 , 권혜림 , 손영민 , 김태은 , 백수진 , 조현정 , 임보라 , 정채원 , 천지연 , 김재은 , 신연우 , 유성연 , 이원철 , 이은진 , 조영대 , 심성범 , 최원욱 , 김재식 , 노동영 , 김홍 , 김재빈 , 김다현 , 이민희 , 진효은 , 강주원 , 최수지 , 원혜진 , 인은균 , 심기보 , 김다혜 , 장세민 , 조은진 , 송민승 , 이은균 , 배소현 , 이승의 , 박준우 , 최용석 , 이재우 , 김민우 , 박지영 , 박수동 , 서우진 , 김은정 , 배수철",2017-11-07,,,(주)영화사오원,"리메인프로덕션 , 이유 필름",2020-08-27,"제20회 전주국제영화제 한국경쟁진출 제19회 밀라노 국제영화제 베스트작품상, 감독상 노미네이트 2020 뚜르국제아시아영화제 경쟁부문 2020 부에노스아이레스 국제영화제 작품상 노미네이트"
414,2019,후쿠오카,드라마,장률,오세현,장률,"권해효 , 윤제문 , 박소담 , 야마모토 유키 , 오세현 , 문지영 , 박현주 , 홍수철",,,,"(주)률필름 , ㈜인디스토리",(주)률필름,2020-08-27,"제69회 베를린 국제영화제, 제9회 베이징 국제영화제 제21회 타이베이영화제, 제19회 뉴 호라이즌 국제영화제 제29회 후쿠오카 국제영화제, 제16회 홍콩 아시안 영화제 제57회 히혼국제영화제, 제45회 서울독립영화제 개막작 영화진흥위원회 독립예술영화 개봉지원사업 지원작"
415,2020,소리꾼,"사극,드라마",조정래,"임성철 , 정무성",조정래,"이봉근 , 이유리 , 김하연 , 박철민 , 김동완 , 한인수 , 정무성 , 임성철 , 김병춘 , 김강현 , 박재민 , 지태양 , 김준형 , 차정환 , 김혁종 , 류신 , 김유나 , 정인기 , 오지혜 , 송철호 , 김병철 , 임형태 , 이나리 , 송민경 , 고수진 , 문채영 , 남상지 , 최대성 , 이지수 , 구본진 , 김시호 , 김신광 , 박신혜 , 정순미 , 정원형 , 박소은 , 정강홍 , 정종욱 , 정인 , 이의수 , 박종서 , 정재환 , 이은석 , 임기향 , 김민선 , 황인우 , 조홍우 , 박정철 , 박승원 , 최용석 , 엄 지 , 이송미 , 강민지 , 장민성 , 유태성 , 김정원 , 조진영 , 김문현 , 명라엘 , 양하나 , 전상협 , 조아한 , 류연영 , 전준형 , 김정환 , 강성진 , 전운종 , 오진욱 , 홍인아 , 설윤지 , 김시혜 , 왕나경 , 이시우 , 임소현 , 이단비 , 오진희 , 양주빈 , 김강희 , 이서아 , 조혜리 , 이주원 , 최재정 , 김수민 , 김지현 , 유한별 , 노아림 , 김동진 , 임송택 , 이현수 , 김래윤 , 이재혁 , 이현석 , 김진휘 , 강학수 , 윤석기 , 고석진 , 배정찬 , 민현기 , 박주현 , 이승현 , 노을 , 장승연 , 김윤정 , 최설 , 손진환 , 한동규 , 강성호 , 신유람 , 원태희 , 조지승 , 조아인 , 이규혁 , 이남균 , 김명자 , 안신권 , 이채령 , 구민혁 , 이상희 , 박원진 , 박태산 , 박종상 , 이일규 , 전희련 , 정시연 , 홍혜지 , 김도훈 , 박진수 , 류경환 , 진시원 , 이은정 , 정재훈 , 현오봉 , 박영덕 , 박종범 , 권현제 , 윤준호 , 고명일 , 서호준 , 한동원 , 유서준 , 정시후 , 남승화 , 이동욱 , 이창원 , 남태하 , 이동기 , 정동근 , 구자건 , 공현대 , 조나단 , 황재운 , 이웅규 , 김용민 , 정현준 , 김태환 , 김수한 , 신안식 , 김병철 , 박범기 , 정태영 , 변만후 , 조한결 , 안정호 , 박동일 , 임주영 , 임정욱 , 이태강 , 윤진우 , 신지우 , 고창균 , 김소리 , 천선우 , 김민준 , 손숙 , 최리 , 이필모 , 더 원 , 조상기 , 박근수 , 최원석 , 박가영 , 노영완 , 김호연 , 박성진 , 조윤상 , 천영암 , 정은지",2019-09-23,2019-11-25,주식회사 제이오엔터테인먼트코리아,(주)리틀빅픽쳐스,주식회사 제이오엔터테인먼트코리아,2020-07-01,
